'hood.n.01	(slang) a neighborhood
addict.v.01	to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)
addiction.n.01	being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
addiction.n.03	(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master
adding_machine.n.01	a calculator that performs simple arithmetic functions
addis_ababa.n.01	the capital of Ethiopia and the country's largest city; located in central Ethiopia
addison's_disease.n.01	a glandular disorder caused by failure of function of the cortex of the adrenal gland and marked by anemia and prostration with brownish skin
addition.n.01	a component that is added to something to improve it
addition.n.02	the act of adding one thing to another
addition.n.03	a quantity that is added
additive.a.02	characterized or produced by addition
additive.n.01	something added to enhance food or gasoline or paint or medicine
addle.v.01	mix up or confuse
address.n.01	(computer science) the code that identifies where a piece of information is stored
address.n.02	the place where a person or organization can be found or communicated with
address.n.03	the act of delivering a formal spoken communication to an audience
address.n.06	written directions for finding some location; written on letters or packages that are to be delivered to that location
address.v.01	speak to
address.v.02	give a speech to
address.v.03	put an address on (an envelope)
address.v.04	direct a question at someone
address.v.07	access or locate by address
address.v.09	speak to someone
address.v.10	adjust and aim (a golf ball) at in preparation of hitting
addressee.n.01	one to whom something is addressed
adduce.v.01	advance evidence for
adduct.v.01	draw a limb towards the body
adduction.n.01	(physiology) moving of a body part toward the central axis of the body
adductor.n.01	a muscle that draws a body part toward the median line
adelges.n.01	type genus of the Adelgidae: plant lice
adelgid.n.01	any of various insects that feed and form galls on conifers
adelgidae.n.01	plant lice
adelie_land.n.01	a costal region of Antarctica to the south of Australia; noted for its large colonies of penguins
aden.n.01	an important port of Yemen; located on the Gulf of Aden; its strategic location has made it a major trading center of southern Arabia since ancient times
adenanthera.n.01	small genus of trees of tropical Asia and Pacific areas
adenine.n.01	(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
adenium.n.01	one species: succulent shrub or tree of tropical Africa and Arabia
adenocarcinoma.n.01	malignant tumor originating in glandular epithelium
adenoid.a.01	relating to or resembling lymphatic glands or lymphoid tissue
adenoidal.a.01	of or pertaining to the adenoids
adenoma.n.01	a benign epithelial tumor of glandular origin
adenota.n.01	African antelopes: puku
adeptness.n.01	skillful performance or ability without difficulty
adequacy.n.01	the quality of being able to meet a need satisfactorily: "he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"
adequate.a.01	having the requisite qualities or resources to meet a task
adhere.v.01	be compatible or in accordance with
adhere.v.02	follow through or carry out a plan without deviation
adhere.v.04	be a devoted follower or supporter
adhere.v.06	stick to firmly
adhesive.a.01	tending to adhere
adhesive_material.n.01	a substance that unites or bonds surfaces together
adhesive_tape.n.01	tape coated with adhesive
adhesiveness.n.01	the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
adi_granth.n.01	the principal sacred text of Sikhism contains hymns and poetry as well as the teachings of the first five gurus
adiantaceae.n.01	used in some classification systems for some genera of the family Polypodiaceae (or Pteridaceae)
adiantum.n.01	cosmopolitan genus of ferns: maidenhair ferns; in some classification systems placed in family Polypodiaceae or Adiantaceae
adieu.n.01	a farewell remark
adipose_tissue.n.01	a kind of body tissue containing stored fat that serves as a source of energy; it also cushions and insulates vital organs
adiposity.n.01	having the property of containing fat
adirondacks.n.01	a mountain range in northeastern New York State; a popular resort area
adjectival.a.01	of or relating to or functioning as an adjective
adjective.n.01	a word that expresses an attribute of something
adjourn.v.01	close at the end of a session
adjourn.v.02	break from a meeting or gathering
adjournment.n.01	the termination of a meeting
adjournment.n.02	the act of postponing to another time or place
adjudicative.a.01	concerned with adjudicating
adjudicator.n.01	a person who studies and settles conflicts and disputes
adjuration.n.01	a solemn and earnest appeal to someone to do something
adjust.v.01	alter or regulate so as to achieve accuracy or conform to a standard
adjust.v.03	adapt or conform oneself to new or different conditions
adjust.v.05	decide how much is to be paid on an insurance claim
adjustable_wrench.n.01	can be changed to different settings
adjuster.n.01	one who investigates insurance claims or claims for damages and recommends an effective settlement
adjustment.n.01	making or becoming suitable; adjusting to circumstances
adjustment.n.03	the act of adjusting something to match a standard
adjutant.n.01	an officer who acts as military assistant to a more senior officer
adjutant_bird.n.01	large Indian stork with a military gait
admass.n.01	the segment of the public that is easily influenced by mass media (chiefly British)
admeasure.v.01	determine the quantity of someone's share
administer.v.01	work in an administrative capacity; supervise or be in charge of
administer.v.04	give or apply (medications)
administration.n.01	a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
administration.n.02	the persons (or committees or departments etc.) who make up a body for the purpose of administering something
administration.n.03	the act of administering medication
administration.n.06	the act of meting out justice according to the law
administrative_district.n.01	a district defined for administrative purposes
administrative_unit.n.01	a unit with administrative responsibilities
administrator.n.01	someone who administers a business
administrator.n.03	someone who manages a government agency or department
admiral.n.01	the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral
admiralty.n.01	the department in charge of the navy (as in Great Britain)
admiralty.n.02	the office of admiral
admiralty_range.n.01	mountains in Antarctica to the north of Victoria Land
admiration.n.01	a feeling of delighted approval and liking
admiration.n.03	a favorable judgment
admire.v.01	feel admiration for
admirer.n.02	a person who admires; someone who esteems or respects or approves
admirer.n.03	someone who admires a young woman
admissibility.n.01	acceptability by virtue of being admissible
admission.n.01	the act of admitting someone to enter
admit.v.01	declare to be true or admit the existence or reality or truth of
admit.v.02	allow to enter; grant entry to
admit.v.03	allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
admit.v.08	serve as a means of entrance
admix.v.01	mix or blend
admixture.n.02	an additional ingredient that is added by mixing with the base
admonish.v.03	take to task
admonisher.n.01	someone who gives a warning so that a mistake can be avoided
admonition.n.01	cautionary advice about something imminent (especially imminent danger or other unpleasantness)
